Year,Month,Risk
Year 2021,Jan,0.625
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.675
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.625
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.675
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.625
Year 2021,Jan,0.525
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.525
Year 2021,Jan,0.575
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.675
Year 2021,Jan,0.675
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.525
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.65
Year 2021,Jan,0.675
Year 2021,Jan,0.65
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.475
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.675
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.55
Year 2021,Jan,0.475
Year 2021,Jan,0.45
Year 2021,Jan,0.45
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.675
Year 2021,Jan,0.625
Year 2021,Jan,0.65
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.575
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.575
Year 2021,Jan,0.65
Year 2021,Jan,0.6
Year 2021,Jan,0.625
Year 2021,Jan,0.575
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.425
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.55
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.625
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.55
Year 2021,Jan,0.675
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.4
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.675
Year 2021,Jan,0.625
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.4
Year 2021,Jan,0.4
Year 2021,Jan,0.425
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.575
Year 2021,Jan,0.675
Year 2021,Jan,0.675
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.4
Year 2021,Jan,0.4
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.55
Year 2021,Jan,0.575
Year 2021,Jan,0.55
Year 2021,Jan,0.6
Year 2021,Jan,0.65
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.4
Year 2021,Jan,0.425
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.475
Year 2021,Jan,0.45
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.5
Year 2021,Jan,0.525
Year 2021,Jan,0.575
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.6
Year 2021,Jan,0.45
Year 2021,Jan,0.425
Year 2021,Jan,0.4
Year 2021,Jan,0.4
Year 2021,Jan,0.425
Year 2021,Jan,0.45
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.5
Year 2021,Jan,0.475
Year 2021,Jan,0.45
Year 2021,Jan,0.475
Year 2021,Jan,0.475
Year 2021,Jan,0.525
Year 2021,Jan,0.5
Year 2021,Jan,0.575
Year 2021,Jan,0.65
Year 2021,Jan,0.625
Year 2021,Jan,0.6
Year 2021,Jan,0.575
Year 2021,Jan,0.6
Year 2021,Jan,0.575
